Brave New World,Aldous Huxley,9780060850524,279
The Road to Wigan Pier,George Orwell,9780156767507,232
1984,George Orwell,9780451524935,268
One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenit︠s︡yn,9780451228147,181
Demons,Fyodor Dostoyevsky,9780679734512,733
The Brothers Karamazov,Fyodor Dostoevsky,9780374528379,796
Paradiso,Dante Alighieri,9780140448979,480
Don Quixote,Miguel de Cervantes Saavedra,9780142437230,1023
The Idiot,Fyodor Dostoyevsky,9780375702242,633
The Iliad,Homer,9780140275360,683
The Odyssey,Homer,9780140268867,541
Gulliver's Travels,Jonathan Swift,9780141439495,305
Moby Dick,Herman Melville,9780199535729,592
Adventures of Huckleberry Finn,Mark Twain,9781463520717,276
Animal Farm,George Orwell,9780451526342,140
The Three Theban Plays,Sophocles,9780140444254,430
Introduction to Linear Algebra,Lee W. Johnson,9780201658590,555
Mathematical Methods for Physicists,George Brown Arfken,9780123846549,1205
Playing for Real,Ken Binmore,9780195300574,639
An Introduction to Information Theory,Fazlollah M. Reza,9780486682105,496
An Introduction to Information Theory,John Robinson Pierce,9780486240619,305
Elements of Information Theory,Thomas M. Cover,9780471241959,776
The Mathematical Theory of Communication,Claude E Shannon,9780252725463,144
Numerical Methods for Engineers and Scientists,Amos Gilat,9781118554937,576
"Bayesian Data Analysis, Third Edition",Andrew Gelman,9781439840955,675
Stochastic Tools in Turbulence,John L. Lumley,9780486462707,194
The Mathematical Theory of Communication,Claude Elwood Shannon,9780252725487,125
Mathematical Foundations of Information Theory,Aleksandr I?Akovlevich Khinchin,9780486604343,120
Nonlinear Dynamics and Chaos,Steven H. Strogatz,9780813349107,528
Introduction to Real Analysis,Robert G. Bartle,9780471433316,416
A First Course in Probability,Sheldon M. Ross,9780321794772,467
Visual Complex Analysis,Tristan Needham,9780198534464,592
Introductory Complex Analysis,Richard A. Silverman,9780486646862,372
Elementary Differential Equations,William E. Boyce,9780470458327,644
Numerical Mathematics and Computing,E. Cheney,9781133103714,704
Differential Equations and Linear Algebra,Gilbert Strang,9780980232790,510
